tehsil,year,season,rainfall_mm,temperature_c,recharge_proxy,crop_water_intensity_index,borewell_density,irrigation_census_proxy,observed_water_table_m,_true_human_residual_m,rainfall_mm_lag1,observed_water_table_m_lag1,baseline_pred,human_residual
Bhiwapur,2015,Pre-Monsoon,77.9,35.5,0.083,48.42,14.77,45.29,18.522,4.046,16.0,18.769,19.150480638872057,-0.628480638872059
Bhiwapur,2015,Monsoon,718.9,27.9,0.843,48.13,13.34,45.17,15.334,3.312,77.9,18.522,15.979610930434143,-0.6456109304341435
Bhiwapur,2015,Post-Monsoon,150.2,24.8,0.172,50.5,14.4,42.74,17.076,3.367,718.9,15.334,18.269893930659546,-1.193893930659545
Bhiwapur,2015,Winter,17.5,22.4,0.075,44.2,14.16,47.61,18.182,3.43,150.2,17.076,19.19036262314646,-1.0083626231464606
Bhiwapur,2016,Pre-Monsoon,56.3,34.1,0.072,47.95,14.0,45.89,18.771,3.422,17.5,18.182,19.19694001347301,-0.42594001347301
Bhiwapur,2016,Monsoon,674.3,24.6,0.81,46.61,13.74,51.35,15.199,3.536,56.3,18.771,16.08635334221065,-0.8873533422106501
Bhiwapur,2016,Post-Monsoon,113.9,24.4,0.135,44.64,14.32,40.87,18.006,3.678,674.3,15.199,18.729852791878468,-0.7238527918784676
Bhiwapur,2016,Winter,26.0,22.8,0.052,46.1,13.56,50.14,17.995,4.178,113.9,18.006,19.17692743382532,-1.1819274338253187
Bhiwapur,2017,Pre-Monsoon,87.1,33.8,0.148,53.24,13.82,46.69,16.523,3.258,26.0,17.995,18.674140128625186,-2.1511401286251868
Bhiwapur,2017,Monsoon,640.1,27.1,0.806,42.58,16.13,47.03,15.669,3.585,87.1,16.523,16.148370924228846,-0.47937092422884575
Bhiwapur,2017,Post-Monsoon,122.8,23.2,0.153,48.76,13.81,48.27,17.265,3.098,640.1,15.669,18.56341964348488,-1.2984196434848805
Bhiwapur,2017,Winter,17.6,20.5,0.008,51.86,14.8,48.1,18.82,3.804,122.8,17.265,19.217510736441895,-0.3975107364418946
Bhiwapur,2018,Pre-Monsoon,66.9,34.9,0.101,44.71,14.21,48.02,17.653,3.059,17.6,18.82,19.177425694391157,-1.5244256943911587
Bhiwapur,2018,Monsoon,432.8,26.7,0.532,46.48,15.17,47.45,17.696,3.437,66.9,17.653,18.229796172454108,-0.5337961724541067
Bhiwapur,2018,Post-Monsoon,130.8,24.2,0.159,45.15,14.98,46.67,17.188,3.01,432.8,17.696,18.343887486179227,-1.1558874861792283
Bhiwapur,2018,Winter,8.8,21.7,0.038,46.56,15.11,49.0,19.854,3.072,130.8,17.188,19.211477873728096,0.6425221262719027
Bhiwapur,2019,Pre-Monsoon,96.7,33.6,0.063,47.81,12.57,49.77,16.728,3.149,8.8,19.854,19.134999344690552,-2.4069993446905507
Bhiwapur,2019,Monsoon,775.9,24.7,0.918,48.87,14.58,48.43,14.065,3.618,96.7,16.728,15.389216876858457,-1.3242168768584577
Bhiwapur,2019,Post-Monsoon,129.3,26.3,0.166,45.22,15.83,48.34,17.967,3.813,775.9,14.065,18.386819026025584,-0.41981902602558563
Bhiwapur,2019,Winter,25.5,22.9,0.054,46.61,13.15,51.86,17.137,3.234,129.3,17.967,19.178520213803793,-2.0415202138037927
Bhiwapur,2020,Pre-Monsoon,46.0,33.4,0.072,46.92,15.47,52.52,19.91,3.995,25.5,17.137,19.171950335651008,0.738049664348992
Bhiwapur,2020,Monsoon,626.2,24.0,0.739,52.55,14.03,48.98,16.314,4.101,46.0,19.91,16.38280039356659,-0.0688003935665904
Bhiwapur,2020,Post-Monsoon,105.5,25.9,0.141,49.79,16.63,47.8,18.735,3.83,626.2,16.314,18.682929228307476,0.05207077169252372
Bhiwapur,2020,Winter,22.8,21.2,0.052,50.84,15.96,48.21,18.124,4.068,105.5,18.735,19.16958949276725,-1.0455894927672524
Bhiwapur,2021,Pre-Monsoon,47.4,34.2,0.0,49.24,16.79,50.11,18.975,2.828,22.8,18.124,19.22340328409081,-0.24840328409080925
Bhiwapur,2021,Monsoon,677.2,27.6,0.864,50.33,15.66,47.1,14.788,3.264,47.4,18.975,15.903336202729552,-1.1153362027295515
Bhiwapur,2021,Post-Monsoon,97.3,28.0,0.112,51.62,15.31,45.95,18.521,2.993,677.2,14.788,19.11251838864287,-0.5915183886428679
Bhiwapur,2021,Winter,19.5,21.3,0.002,45.44,15.02,48.55,18.47,3.754,97.3,18.521,19.19610133032393,-0.7261013303239316
Bhiwapur,2022,Pre-Monsoon,64.4,34.2,0.108,51.26,16.86,50.63,18.308,3.367,19.5,18.47,19.171511506176866,-0.8635115061768666
Bhiwapur,2022,Monsoon,695.7,27.6,0.873,50.08,17.56,49.91,15.542,3.983,64.4,18.308,15.863032230843828,-0.32103223084382826
Bhiwapur,2022,Post-Monsoon,115.6,25.2,0.098,56.31,16.49,52.19,19.635,4.102,695.7,15.542,19.03785795251076,0.5971420474892426
Bhiwapur,2022,Winter,18.4,19.7,0.011,50.45,15.48,47.57,19.099,3.736,115.6,19.635,19.200276117072416,-0.10127611707241613
Bhiwapur,2023,Pre-Monsoon,69.4,34.6,0.094,54.41,16.45,53.36,18.859,4.007,18.4,19.099,19.172823744669582,-0.3138237446695804
Bhiwapur,2023,Monsoon,887.5,26.4,1.107,53.6,15.71,49.67,13.149,3.664,69.4,18.859,13.711020625784784,-0.5620206257847844
Bhiwapur,2023,Post-Monsoon,107.0,26.3,0.17,54.02,13.72,53.29,18.516,3.915,887.5,13.149,18.63826305206317,-0.12226305206317178
Bhiwapur,2023,Winter,18.7,20.9,0.022,56.39,16.3,54.4,19.407,4.24,107.0,18.516,19.194177888577794,0.21282211142220575
Bhiwapur,2024,Pre-Monsoon,72.3,33.4,0.111,50.14,15.38,57.26,18.317,4.166,18.7,19.407,19.14166436716599,-0.8246643671659903
Bhiwapur,2024,Monsoon,607.0,26.9,0.71,53.02,15.48,51.33,16.602,3.887,72.3,18.317,16.493650106655405,0.10834989334459522
Bhiwapur,2024,Post-Monsoon,139.3,26.0,0.156,55.3,16.39,49.4,18.335,3.902,607.0,16.602,18.302091652951205,0.03290834704879586
Bhiwapur,2024,Winter,18.0,22.5,0.006,48.42,15.88,55.63,19.074,3.684,139.3,18.335,19.22102887519116,-0.14702887519115748
Hingna,2010,Monsoon,924.2,26.4,1.068,49.61,11.93,47.52,15.565,3.595,54.0,21.467,14.653417995339009,0.9115820046609908
Hingna,2010,Post-Monsoon,89.0,26.2,0.084,44.95,12.7,45.63,21.59,2.828,924.2,15.565,22.444686237216334,-0.8546862372163346
Hingna,2010,Winter,27.6,22.5,0.035,43.71,11.56,49.16,19.787,3.179,89.0,21.59,21.548672524731863,-1.761672524731864
Hingna,2011,Pre-Monsoon,58.0,32.1,0.051,51.28,11.42,50.31,21.571,3.52,27.6,19.787,22.4564675687239,-0.8854675687239002
Hingna,2011,Monsoon,838.7,27.7,0.922,50.55,12.02,49.34,16.984,3.33,58.0,21.571,16.38339888419718,0.6006011158028208
Hingna,2011,Post-Monsoon,96.2,25.2,0.091,46.84,13.89,52.35,22.876,4.2,838.7,16.984,22.42241482319518,0.4535851768048218
Hingna,2011,Winter,20.6,19.5,0.0,46.65,11.74,48.15,20.542,2.935,96.2,22.876,22.043792500473327,-1.501792500473325
Hingna,2012,Pre-Monsoon,46.2,37.7,0.039,50.76,12.2,56.85,23.183,3.735,20.6,20.542,23.014610692507006,0.16838930749299408
Hingna,2012,Monsoon,679.6,25.5,0.823,52.98,13.59,46.5,18.162,3.806,46.2,23.183,17.466419289383268,0.6955807106167313
Hingna,2012,Post-Monsoon,148.9,23.9,0.18,53.59,11.84,52.57,20.124,3.547,679.6,18.162,21.201119596789926,-1.0771195967899274
Hingna,2012,Winter,19.0,20.6,0.017,48.86,13.05,52.49,21.42,3.452,148.9,20.124,22.018993859847146,-0.5989938598471447
Hingna,2013,Pre-Monsoon,60.7,31.5,0.084,52.55,14.24,56.8,20.708,3.237,19.0,21.42,21.895943192845213,-1.1879431928452142
Hingna,2013,Monsoon,635.1,27.2,0.714,54.55,15.13,55.6,18.558,3.297,60.7,20.708,17.936130518187372,0.6218694818126274
Hingna,2013,Post-Monsoon,157.4,26.8,0.154,54.58,15.06,58.29,20.236,3.912,635.1,18.558,21.560212798868097,-1.3242127988680963
Hingna,2013,Winter,20.8,19.5,0.036,54.29,14.29,54.94,21.694,4.3,157.4,20.236,21.674818400464318,0.019181599535681215
Hingna,2014,Pre-Monsoon,51.2,34.0,0.085,50.07,13.59,51.11,21.814,3.255,20.8,21.694,22.519135488234724,-0.705135488234724
Hingna,2014,Monsoon,713.5,26.2,0.825,53.67,15.57,57.39,18.206,3.91,51.2,21.814,17.423467608848515,0.7825323911514843
Hingna,2014,Post-Monsoon,134.6,24.2,0.174,51.31,16.31,58.76,20.973,3.997,713.5,18.206,21.611344876991836,-0.6383448769918374
Hingna,2014,Winter,22.3,20.5,0.033,57.18,14.34,54.66,20.635,3.636,134.6,20.973,21.753020750447266,-1.1180207504472648
Hingna,2015,Pre-Monsoon,69.6,36.4,0.123,51.69,16.33,61.56,21.538,4.051,22.3,20.635,22.389093648076162,-0.8510936480761622
Hingna,2015,Monsoon,684.2,25.6,0.791,51.89,16.15,60.57,18.174,3.655,69.6,21.538,17.60080006480442,0.5731999351955785
Hingna,2015,Post-Monsoon,109.9,25.2,0.08,57.93,15.15,55.32,22.176,4.365,684.2,18.174,22.382232721463566,-0.20623272146356797
Hingna,2015,Winter,20.3,21.8,0.0,56.67,15.75,56.83,21.741,3.831,109.9,22.176,22.0803324227388,-0.33933242273879927
Hingna,2016,Pre-Monsoon,67.6,30.2,0.113,49.44,15.69,62.38,20.832,3.479,20.3,21.741,21.77852307918007,-0.9465230791800678
Hingna,2016,Monsoon,769.2,24.5,0.916,58.41,15.11,58.36,17.889,4.378,67.6,20.832,16.87327430976107,1.0157256902389307
Hingna,2016,Post-Monsoon,70.7,25.5,0.055,62.46,14.96,63.83,23.042,4.011,769.2,17.889,22.73463236058097,0.3073676394190308
Hingna,2016,Winter,16.0,19.3,0.021,54.9,14.13,58.87,21.513,3.721,70.7,23.042,22.064691383349707,-0.5516913833497057
Hingna,2017,Pre-Monsoon,47.5,36.6,0.056,61.32,15.23,59.99,22.989,3.953,16.0,21.513,22.988314188043756,0.0006858119562451748
Hingna,2017,Monsoon,474.5,26.6,0.527,61.08,16.37,60.95,20.848,4.118,47.5,22.989,20.850863603243432,-0.002863603243433488
Hingna,2017,Post-Monsoon,120.9,25.9,0.126,62.98,16.77,60.86,22.487,4.937,474.5,20.848,22.289093828841825,0.19790617115817355
Hingna,2017,Winter,23.1,18.5,0.033,65.31,17.5,62.05,21.524,4.586,120.9,22.487,21.721163756259063,-0.19716375625906224
Hingna,2018,Pre-Monsoon,49.8,33.6,0.063,60.29,16.91,60.03,23.279,4.489,23.1,21.524,22.95454364042471,0.32445635957529007
Hingna,2018,Monsoon,757.0,27.1,0.88,63.51,17.62,62.1,19.037,4.386,49.8,23.279,17.13482888869083,1.902171111309169
Hingna,2018,Post-Monsoon,130.8,26.3,0.108,65.96,17.62,60.65,22.433,4.766,757.0,19.037,22.14578724871247,0.2872127512875302
Hingna,2018,Winter,27.8,21.9,0.032,67.36,17.87,63.36,21.26,4.872,130.8,22.433,21.590946764276868,-0.33094676427686665
Hingna,2019,Pre-Monsoon,62.8,33.0,0.076,64.39,17.08,61.56,21.831,3.729,27.8,21.26,22.255530732858894,-0.4245307328588943
Hingna,2019,Monsoon,574.5,28.7,0.644,66.58,18.02,65.52,20.729,4.583,62.8,21.831,19.546119808671115,1.1828801913288842
Hingna,2019,Post-Monsoon,89.9,26.4,0.131,66.58,20.33,63.33,22.475,4.518,574.5,20.729,22.43521595277855,0.03978404722145257
Hingna,2019,Winter,22.3,21.1,0.0,66.9,17.19,68.13,23.02,4.846,89.9,22.475,22.0498522870046,0.9701477129953986
Hingna,2020,Pre-Monsoon,55.3,31.6,0.045,63.33,17.67,71.35,23.274,4.818,22.3,23.02,22.61480173691509,0.6591982630849103
Hingna,2020,Monsoon,627.4,28.3,0.718,68.2,18.92,66.19,19.298,4.253,55.3,23.274,17.952930729643754,1.3450692703562446
Hingna,2020,Post-Monsoon,118.8,24.3,0.135,66.77,16.96,64.76,22.328,4.766,627.4,19.298,22.073053155572556,0.25494684442744386
Hingna,2020,Winter,20.1,22.3,0.046,66.32,18.65,65.47,22.595,4.808,118.8,22.328,21.731551267247326,0.8634487327526728
Hingna,2021,Pre-Monsoon,63.8,35.1,0.076,70.97,20.69,66.84,23.086,5.525,20.1,22.595,22.64730180427799,0.43869819572200797
Hingna,2021,Monsoon,422.4,26.1,0.507,67.78,19.31,72.35,21.555,4.738,63.8,23.086,21.0031835142529,0.5518164857471
Hingna,2021,Post-Monsoon,127.6,26.6,0.174,69.21,20.31,68.2,22.254,5.037,422.4,21.555,21.856297428925178,0.39770257107482365
Hingna,2021,Winter,24.2,21.7,0.029,66.19,19.89,68.78,22.692,5.547,127.6,22.254,21.98000623887637,0.7119937611236296
Hingna,2022,Pre-Monsoon,66.0,35.4,0.079,77.64,20.14,71.47,22.961,5.25,24.2,22.692,22.601207646509827,0.359792353490171
Hingna,2022,Monsoon,772.7,27.4,0.924,70.34,20.19,77.42,18.967,5.006,66.0,22.961,16.89179269573843,2.0752073042615677
Hingna,2022,Post-Monsoon,89.8,27.2,0.092,71.01,20.46,72.49,23.129,4.84,772.7,18.967,22.467476349212678,0.6615236507873234
Hingna,2022,Winter,23.4,21.4,0.003,72.66,19.78,69.35,22.571,5.507,89.8,23.129,22.02824504530186,0.5427549546981432
Hingna,2023,Pre-Monsoon,67.9,35.6,0.162,67.5,20.49,70.92,21.966,4.687,23.4,22.571,21.98653003989527,-0.020530039895270136
Hingna,2023,Monsoon,470.6,27.4,0.541,74.08,21.73,73.97,22.708,6.012,67.9,21.966,20.858647150994077,1.8493528490059212
Hingna,2023,Post-Monsoon,72.7,24.7,0.031,72.68,21.1,71.29,24.95,5.401,470.6,22.708,22.942028631910684,2.007971368089315
Hingna,2023,Winter,15.5,19.7,0.019,73.15,19.37,72.01,23.441,5.098,72.7,24.95,22.07570441591273,1.3652955840872707
Hingna,2024,Pre-Monsoon,52.0,33.8,0.062,76.45,23.01,73.53,24.14,5.658,15.5,23.441,22.986543795186613,1.1534562048133878
Hingna,2024,Monsoon,559.2,28.0,0.671,78.51,23.71,72.1,21.511,5.616,52.0,24.14,19.815306937888497,1.695693062111502
Hingna,2024,Post-Monsoon,103.0,24.1,0.121,72.33,22.01,72.29,22.994,5.369,559.2,21.511,22.37439541557181,0.6196045844281883
Hingna,2024,Winter,22.7,23.8,0.034,76.09,20.85,71.05,22.864,5.058,103.0,22.994,22.094127744183908,0.7698722558160931
Kalmeshwar,2010,Monsoon,376.6,25.6,0.376,54.12,21.41,29.97,19.866,3.47,37.6,21.253,19.194398410487928,0.6716015895120719
Kalmeshwar,2010,Post-Monsoon,85.3,24.3,0.094,45.76,21.41,25.31,20.38,3.246,376.6,19.866,20.28399130209689,0.09600869790310895
Kalmeshwar,2010,Winter,20.8,22.6,0.0,49.3,20.11,27.53,19.56,3.265,85.3,20.38,20.281989481232937,-0.7219894812329386
Kalmeshwar,2011,Pre-Monsoon,41.8,31.0,0.009,51.93,19.82,25.97,21.558,3.335,20.8,19.56,20.374349852262153,1.183650147737847
Kalmeshwar,2011,Monsoon,736.9,27.9,0.665,49.35,19.8,35.5,16.598,3.311,41.8,21.558,17.670039944979813,-1.0720399449798137
Kalmeshwar,2011,Post-Monsoon,83.1,27.8,0.153,48.62,20.1,23.8,20.28,3.289,736.9,16.598,19.81849062246099,0.4615093775390129
Kalmeshwar,2011,Winter,21.2,21.5,0.03,49.1,20.32,31.05,19.956,3.825,83.1,20.28,20.230634806132233,-0.2746348061322337
Kalmeshwar,2012,Pre-Monsoon,38.8,32.1,0.015,47.8,22.49,31.09,22.001,3.763,21.2,19.956,20.38309369369236,1.617906306307642
Kalmeshwar,2012,Monsoon,832.2,27.6,0.804,55.41,21.85,29.46,16.516,4.051,38.8,22.001,16.53928404318823,-0.023284043188230186
Kalmeshwar,2012,Post-Monsoon,122.8,27.7,0.059,50.8,21.7,28.4,20.654,3.628,832.2,16.516,20.162248951918446,0.4917510480815537
Kalmeshwar,2012,Winter,19.6,18.4,0.0,53.92,21.11,28.14,20.779,4.119,122.8,20.654,20.230634806132233,0.5483651938677667
Kalmeshwar,2013,Pre-Monsoon,52.8,33.7,0.027,48.9,21.02,29.5,20.128,3.093,19.6,20.779,20.379249049926457,-0.25124904992645725
Kalmeshwar,2013,Monsoon,702.3,29.2,0.657,52.77,22.37,30.41,18.16,4.03,52.8,20.128,17.822428652538783,0.33757134746121764
Kalmeshwar,2013,Post-Monsoon,107.6,25.5,0.063,49.47,21.44,28.23,20.74,3.941,702.3,18.16,20.303829587497884,0.43617041250211486
Kalmeshwar,2013,Winter,20.9,19.7,0.011,49.82,22.66,29.35,20.031,3.616,107.6,20.74,20.230634806132233,-0.1996348061322344
Kalmeshwar,2014,Pre-Monsoon,45.5,34.3,0.071,53.63,24.62,35.44,21.404,3.968,20.9,20.031,20.390591682127294,1.013408317872706
Kalmeshwar,2014,Monsoon,540.5,28.5,0.532,53.57,23.07,36.18,19.148,3.949,45.5,21.404,18.934774929618253,0.2132250703817462
Kalmeshwar,2014,Post-Monsoon,143.4,25.6,0.138,53.39,22.74,28.48,18.644,3.537,540.5,19.148,19.244913223094603,-0.6009132230946044
Kalmeshwar,2014,Winter,17.1,21.8,0.011,53.39,21.16,30.72,20.906,3.931,143.4,18.644,20.23692578617155,0.6690742138284484
Kalmeshwar,2015,Pre-Monsoon,63.9,36.9,0.061,51.64,22.53,32.93,20.526,3.808,17.1,20.906,20.360453895871814,0.16554610412818604
Kalmeshwar,2015,Monsoon,535.5,26.8,0.511,52.03,22.53,32.85,19.198,3.8,63.9,20.526,19.045629783250728,0.1523702167492722
Kalmeshwar,2015,Post-Monsoon,100.1,26.7,0.108,56.32,23.42,34.17,20.866,4.133,535.5,19.198,20.297347280232685,0.5686527197673144
Kalmeshwar,2015,Winter,16.3,20.2,0.021,54.97,21.88,32.51,20.035,3.222,100.1,20.866,20.230634806132233,-0.19563480613223305
Kalmeshwar,2016,Pre-Monsoon,55.0,33.8,0.096,51.0,22.2,26.99,20.326,3.538,16.3,20.035,20.37254428259502,-0.046544282595018416
Kalmeshwar,2016,Monsoon,812.0,28.1,0.785,53.53,24.05,33.47,16.137,3.471,55.0,20.326,16.64600050911766,-0.5090005091176586
Kalmeshwar,2016,Post-Monsoon,144.9,29.0,0.142,52.35,21.84,34.9,19.175,4.006,812.0,16.137,19.133513856082757,0.04148614391724337
Kalmeshwar,2016,Winter,22.6,20.7,0.039,55.16,22.25,38.15,20.018,4.261,144.9,19.175,20.230634806132233,-0.2126348061322325
Kalmeshwar,2017,Pre-Monsoon,74.5,35.9,0.073,57.24,23.91,32.74,20.12,3.85,22.6,20.018,20.321225680799827,-0.20122568079982628
Kalmeshwar,2017,Monsoon,801.8,28.3,0.752,53.36,22.7,36.18,16.868,4.06,74.5,20.12,16.78140358788589,0.08659641211410829
Kalmeshwar,2017,Post-Monsoon,113.9,27.3,0.101,54.92,22.37,36.89,20.385,4.107,801.8,16.868,20.203587220503163,0.18141277949683854
Kalmeshwar,2017,Winter,14.9,20.2,0.056,56.17,22.34,35.11,21.916,5.045,113.9,20.385,20.230634806132233,1.6853651938677672
Kalmeshwar,2018,Pre-Monsoon,55.9,35.8,0.0,56.76,25.66,34.89,21.022,4.105,14.9,21.916,20.396206676171023,0.6257933238289759
Kalmeshwar,2018,Monsoon,684.0,25.9,0.639,54.8,24.03,38.52,18.466,4.267,55.9,21.022,17.816201972592136,0.649798027407865
Kalmeshwar,2018,Post-Monsoon,84.5,26.7,0.041,55.8,23.97,32.33,21.164,4.01,684.0,18.466,20.307348201323414,0.8566517986765874
Kalmeshwar,2018,Winter,24.5,21.8,0.026,54.24,22.6,33.9,19.797,4.033,84.5,21.164,20.23692578617155,-0.43992578617154976
Kalmeshwar,2019,Pre-Monsoon,51.8,35.6,0.052,53.15,26.35,35.93,21.709,4.279,24.5,19.797,20.38522479763023,1.3237752023697702
Kalmeshwar,2019,Monsoon,572.6,29.8,0.582,59.87,24.57,33.5,19.175,3.986,51.8,21.709,18.53524112842993,0.6397588715700699
Kalmeshwar,2019,Post-Monsoon,75.6,23.3,0.082,54.97,22.0,37.36,22.24,4.408,572.6,19.175,20.2720383979869,1.9679616020130979
Kalmeshwar,2019,Winter,19.1,22.2,0.052,56.37,24.02,36.76,20.641,4.11,75.6,22.24,20.271160208018898,0.36983979198110006
Kalmeshwar,2020,Pre-Monsoon,62.6,35.8,0.097,59.75,26.03,35.87,21.565,4.533,19.1,20.641,20.35374912854038,1.2112508714596224
Kalmeshwar,2020,Monsoon,487.2,26.1,0.482,59.51,26.26,35.16,20.417,4.711,62.6,21.565,19.174146790849967,1.2428532091500344
Kalmeshwar,2020,Post-Monsoon,99.9,27.8,0.133,60.12,24.52,37.4,21.21,4.515,487.2,20.417,20.282266912004467,0.9277330879955343
Kalmeshwar,2020,Winter,15.5,19.6,0.0,58.99,24.28,37.37,21.213,4.081,99.9,21.21,20.230634806132233,0.9823651938677678
Kalmeshwar,2021,Pre-Monsoon,53.9,33.4,0.066,53.73,23.84,40.11,21.079,4.449,15.5,21.213,20.383489599416997,0.6955104005830037
Kalmeshwar,2021,Monsoon,580.4,27.4,0.593,57.84,25.5,35.98,18.585,4.034,53.9,21.079,18.200104363713773,0.38489563628622747
Kalmeshwar,2021,Post-Monsoon,148.0,25.8,0.105,55.99,25.03,42.27,19.812,4.191,580.4,18.585,19.64950186869034,0.16249813130966118
Kalmeshwar,2021,Winter,18.0,20.5,0.0,63.46,22.09,39.65,20.779,4.217,148.0,19.812,20.230634806132233,0.5483651938677667
Kalmeshwar,2022,Pre-Monsoon,51.9,33.1,0.046,61.4,24.51,34.55,21.708,4.695,18.0,20.779,20.38309369369236,1.3249063063076392
Kalmeshwar,2022,Monsoon,731.2,26.7,0.685,65.19,24.77,37.38,18.143,4.299,51.9,21.708,17.58744775510578,0.5555522448942192
Kalmeshwar,2022,Post-Monsoon,125.3,26.0,0.129,66.43,25.29,32.54,20.592,4.505,731.2,18.143,20.147624190687015,0.4443758093129837
Kalmeshwar,2022,Winter,22.2,21.3,0.021,60.0,25.57,37.13,21.057,5.284,125.3,20.592,20.230634806132233,0.8263651938677654
Kalmeshwar,2023,Pre-Monsoon,61.9,32.1,0.063,58.28,24.83,41.93,21.266,4.539,22.2,21.057,20.35752277025322,0.9084772297467794
Kalmeshwar,2023,Monsoon,904.4,25.5,0.918,64.14,25.85,37.18,16.216,4.398,61.9,21.266,15.560977191046282,0.6550228089537189
Kalmeshwar,2023,Post-Monsoon,117.9,23.3,0.147,60.83,24.79,37.91,20.179,4.107,904.4,16.216,19.688720077604195,0.4902799223958034
Kalmeshwar,2023,Winter,22.7,21.7,0.016,57.63,25.37,35.65,19.732,4.027,117.9,20.179,20.23692578617155,-0.504925786171551
Kalmeshwar,2024,Pre-Monsoon,54.7,33.4,0.111,63.05,25.94,39.22,20.584,3.891,22.7,19.732,20.362314727049505,0.221685272950495
Kalmeshwar,2024,Monsoon,696.9,26.8,0.668,64.2,24.04,38.67,18.514,4.995,54.7,20.584,17.72875327555727,0.7852467244427288
Kalmeshwar,2024,Post-Monsoon,65.8,24.0,0.059,60.58,24.27,45.0,22.369,4.619,696.9,18.514,20.31804110032149,2.050958899678509
Kalmeshwar,2024,Winter,22.4,20.5,0.013,63.83,23.97,44.13,20.95,4.939,65.8,22.369,20.230634806132233,0.7193651938677661
Kamptee,2010,Monsoon,929.0,26.5,1.156,32.07,7.64,34.12,12.133,2.238,30.5,19.675,13.464526872423876,-1.3315268724238774
Kamptee,2010,Post-Monsoon,103.8,26.2,0.141,36.77,8.22,36.55,18.383,2.701,929.0,12.133,18.579909772675006,-0.19690977267500642
Kamptee,2010,Winter,12.9,20.6,0.027,37.36,9.4,38.24,19.523,2.56,103.8,18.383,19.073153393393845,0.4498466066061546
Kamptee,2011,Pre-Monsoon,82.9,36.5,0.067,33.25,11.21,32.23,17.151,2.335,12.9,19.523,19.206429119446014,-2.055429119446014
Kamptee,2011,Monsoon,614.3,26.2,0.751,33.9,8.85,40.58,16.069,2.795,82.9,17.151,16.876789125198457,-0.8077891251984575
Kamptee,2011,Post-Monsoon,111.6,25.1,0.061,31.9,7.91,29.25,18.23,2.574,614.3,16.069,18.977489593803135,-0.7474895938031345
Kamptee,2011,Winter,26.2,21.5,0.056,33.33,10.25,36.7,17.195,2.683,111.6,18.23,19.065979059592237,-1.870979059592237
