tehsil,year,season,rainfall_mm,temperature_c,recharge_proxy,crop_water_intensity_index,borewell_density,irrigation_census_proxy,observed_water_table_m,_true_human_residual_m,rainfall_mm_lag1,observed_water_table_m_lag1
Bhiwapur,2021,Post-Monsoon,97.3,28.0,0.112,51.62,15.31,45.95,18.521,2.993,677.2,14.788
Bhiwapur,2021,Winter,19.5,21.3,0.002,45.44,15.02,48.55,18.47,3.754,97.3,18.521
Bhiwapur,2022,Pre-Monsoon,64.4,34.2,0.108,51.26,16.86,50.63,18.308,3.367,19.5,18.47
Bhiwapur,2022,Monsoon,695.7,27.6,0.873,50.08,17.56,49.91,15.542,3.983,64.4,18.308
Bhiwapur,2022,Post-Monsoon,115.6,25.2,0.098,56.31,16.49,52.19,19.635,4.102,695.7,15.542
Bhiwapur,2022,Winter,18.4,19.7,0.011,50.45,15.48,47.57,19.099,3.736,115.6,19.635
Bhiwapur,2023,Pre-Monsoon,69.4,34.6,0.094,54.41,16.45,53.36,18.859,4.007,18.4,19.099
Bhiwapur,2023,Monsoon,887.5,26.4,1.107,53.6,15.71,49.67,13.149,3.664,69.4,18.859
Bhiwapur,2023,Post-Monsoon,107.0,26.3,0.17,54.02,13.72,53.29,18.516,3.915,887.5,13.149
Bhiwapur,2023,Winter,18.7,20.9,0.022,56.39,16.3,54.4,19.407,4.24,107.0,18.516
Bhiwapur,2024,Pre-Monsoon,72.3,33.4,0.111,50.14,15.38,57.26,18.317,4.166,18.7,19.407
Bhiwapur,2024,Monsoon,607.0,26.9,0.71,53.02,15.48,51.33,16.602,3.887,72.3,18.317
Bhiwapur,2024,Post-Monsoon,139.3,26.0,0.156,55.3,16.39,49.4,18.335,3.902,607.0,16.602
Bhiwapur,2024,Winter,18.0,22.5,0.006,48.42,15.88,55.63,19.074,3.684,139.3,18.335
Hingna,2010,Monsoon,924.2,26.4,1.068,49.61,11.93,47.52,15.565,3.595,54.0,21.467
Hingna,2010,Post-Monsoon,89.0,26.2,0.084,44.95,12.7,45.63,21.59,2.828,924.2,15.565
Hingna,2010,Winter,27.6,22.5,0.035,43.71,11.56,49.16,19.787,3.179,89.0,21.59
Hingna,2011,Pre-Monsoon,58.0,32.1,0.051,51.28,11.42,50.31,21.571,3.52,27.6,19.787
Hingna,2011,Monsoon,838.7,27.7,0.922,50.55,12.02,49.34,16.984,3.33,58.0,21.571
Hingna,2011,Post-Monsoon,96.2,25.2,0.091,46.84,13.89,52.35,22.876,4.2,838.7,16.984
Hingna,2011,Winter,20.6,19.5,0.0,46.65,11.74,48.15,20.542,2.935,96.2,22.876
Hingna,2012,Pre-Monsoon,46.2,37.7,0.039,50.76,12.2,56.85,23.183,3.735,20.6,20.542
Hingna,2012,Monsoon,679.6,25.5,0.823,52.98,13.59,46.5,18.162,3.806,46.2,23.183
Hingna,2012,Post-Monsoon,148.9,23.9,0.18,53.59,11.84,52.57,20.124,3.547,679.6,18.162
Hingna,2012,Winter,19.0,20.6,0.017,48.86,13.05,52.49,21.42,3.452,148.9,20.124
Hingna,2013,Pre-Monsoon,60.7,31.5,0.084,52.55,14.24,56.8,20.708,3.237,19.0,21.42
Hingna,2013,Monsoon,635.1,27.2,0.714,54.55,15.13,55.6,18.558,3.297,60.7,20.708
Hingna,2013,Post-Monsoon,157.4,26.8,0.154,54.58,15.06,58.29,20.236,3.912,635.1,18.558
Hingna,2013,Winter,20.8,19.5,0.036,54.29,14.29,54.94,21.694,4.3,157.4,20.236
Hingna,2014,Pre-Monsoon,51.2,34.0,0.085,50.07,13.59,51.11,21.814,3.255,20.8,21.694
Hingna,2014,Monsoon,713.5,26.2,0.825,53.67,15.57,57.39,18.206,3.91,51.2,21.814
Hingna,2014,Post-Monsoon,134.6,24.2,0.174,51.31,16.31,58.76,20.973,3.997,713.5,18.206
Hingna,2014,Winter,22.3,20.5,0.033,57.18,14.34,54.66,20.635,3.636,134.6,20.973
Hingna,2015,Pre-Monsoon,69.6,36.4,0.123,51.69,16.33,61.56,21.538,4.051,22.3,20.635
Hingna,2015,Monsoon,684.2,25.6,0.791,51.89,16.15,60.57,18.174,3.655,69.6,21.538
Hingna,2015,Post-Monsoon,109.9,25.2,0.08,57.93,15.15,55.32,22.176,4.365,684.2,18.174
Hingna,2015,Winter,20.3,21.8,0.0,56.67,15.75,56.83,21.741,3.831,109.9,22.176
Hingna,2016,Pre-Monsoon,67.6,30.2,0.113,49.44,15.69,62.38,20.832,3.479,20.3,21.741
Hingna,2016,Monsoon,769.2,24.5,0.916,58.41,15.11,58.36,17.889,4.378,67.6,20.832
Hingna,2016,Post-Monsoon,70.7,25.5,0.055,62.46,14.96,63.83,23.042,4.011,769.2,17.889
Hingna,2016,Winter,16.0,19.3,0.021,54.9,14.13,58.87,21.513,3.721,70.7,23.042
Hingna,2017,Pre-Monsoon,47.5,36.6,0.056,61.32,15.23,59.99,22.989,3.953,16.0,21.513
Hingna,2017,Monsoon,474.5,26.6,0.527,61.08,16.37,60.95,20.848,4.118,47.5,22.989
Hingna,2017,Post-Monsoon,120.9,25.9,0.126,62.98,16.77,60.86,22.487,4.937,474.5,20.848
Hingna,2017,Winter,23.1,18.5,0.033,65.31,17.5,62.05,21.524,4.586,120.9,22.487
Hingna,2018,Pre-Monsoon,49.8,33.6,0.063,60.29,16.91,60.03,23.279,4.489,23.1,21.524
Hingna,2018,Monsoon,757.0,27.1,0.88,63.51,17.62,62.1,19.037,4.386,49.8,23.279
Hingna,2018,Post-Monsoon,130.8,26.3,0.108,65.96,17.62,60.65,22.433,4.766,757.0,19.037
Hingna,2018,Winter,27.8,21.9,0.032,67.36,17.87,63.36,21.26,4.872,130.8,22.433
Hingna,2019,Pre-Monsoon,62.8,33.0,0.076,64.39,17.08,61.56,21.831,3.729,27.8,21.26
Hingna,2019,Monsoon,574.5,28.7,0.644,66.58,18.02,65.52,20.729,4.583,62.8,21.831
Hingna,2019,Post-Monsoon,89.9,26.4,0.131,66.58,20.33,63.33,22.475,4.518,574.5,20.729
Hingna,2019,Winter,22.3,21.1,0.0,66.9,17.19,68.13,23.02,4.846,89.9,22.475
Hingna,2020,Pre-Monsoon,55.3,31.6,0.045,63.33,17.67,71.35,23.274,4.818,22.3,23.02
Hingna,2020,Monsoon,627.4,28.3,0.718,68.2,18.92,66.19,19.298,4.253,55.3,23.274
Hingna,2020,Post-Monsoon,118.8,24.3,0.135,66.77,16.96,64.76,22.328,4.766,627.4,19.298
Hingna,2020,Winter,20.1,22.3,0.046,66.32,18.65,65.47,22.595,4.808,118.8,22.328
Hingna,2021,Pre-Monsoon,63.8,35.1,0.076,70.97,20.69,66.84,23.086,5.525,20.1,22.595
Hingna,2021,Monsoon,422.4,26.1,0.507,67.78,19.31,72.35,21.555,4.738,63.8,23.086
Hingna,2021,Post-Monsoon,127.6,26.6,0.174,69.21,20.31,68.2,22.254,5.037,422.4,21.555
Hingna,2021,Winter,24.2,21.7,0.029,66.19,19.89,68.78,22.692,5.547,127.6,22.254
Hingna,2022,Pre-Monsoon,66.0,35.4,0.079,77.64,20.14,71.47,22.961,5.25,24.2,22.692
Hingna,2022,Monsoon,772.7,27.4,0.924,70.34,20.19,77.42,18.967,5.006,66.0,22.961
Hingna,2022,Post-Monsoon,89.8,27.2,0.092,71.01,20.46,72.49,23.129,4.84,772.7,18.967
Hingna,2022,Winter,23.4,21.4,0.003,72.66,19.78,69.35,22.571,5.507,89.8,23.129
Hingna,2023,Pre-Monsoon,67.9,35.6,0.162,67.5,20.49,70.92,21.966,4.687,23.4,22.571
Hingna,2023,Monsoon,470.6,27.4,0.541,74.08,21.73,73.97,22.708,6.012,67.9,21.966
Hingna,2023,Post-Monsoon,72.7,24.7,0.031,72.68,21.1,71.29,24.95,5.401,470.6,22.708
Hingna,2023,Winter,15.5,19.7,0.019,73.15,19.37,72.01,23.441,5.098,72.7,24.95
Hingna,2024,Pre-Monsoon,52.0,33.8,0.062,76.45,23.01,73.53,24.14,5.658,15.5,23.441
Hingna,2024,Monsoon,559.2,28.0,0.671,78.51,23.71,72.1,21.511,5.616,52.0,24.14
Hingna,2024,Post-Monsoon,103.0,24.1,0.121,72.33,22.01,72.29,22.994,5.369,559.2,21.511
Hingna,2024,Winter,22.7,23.8,0.034,76.09,20.85,71.05,22.864,5.058,103.0,22.994
Kalmeshwar,2010,Monsoon,376.6,25.6,0.376,54.12,21.41,29.97,19.866,3.47,37.6,21.253
Kalmeshwar,2010,Post-Monsoon,85.3,24.3,0.094,45.76,21.41,25.31,20.38,3.246,376.6,19.866
Kalmeshwar,2010,Winter,20.8,22.6,0.0,49.3,20.11,27.53,19.56,3.265,85.3,20.38
Kalmeshwar,2011,Pre-Monsoon,41.8,31.0,0.009,51.93,19.82,25.97,21.558,3.335,20.8,19.56
Kalmeshwar,2011,Monsoon,736.9,27.9,0.665,49.35,19.8,35.5,16.598,3.311,41.8,21.558
Kalmeshwar,2011,Post-Monsoon,83.1,27.8,0.153,48.62,20.1,23.8,20.28,3.289,736.9,16.598
Kalmeshwar,2011,Winter,21.2,21.5,0.03,49.1,20.32,31.05,19.956,3.825,83.1,20.28
Kalmeshwar,2012,Pre-Monsoon,38.8,32.1,0.015,47.8,22.49,31.09,22.001,3.763,21.2,19.956
Kalmeshwar,2012,Monsoon,832.2,27.6,0.804,55.41,21.85,29.46,16.516,4.051,38.8,22.001
Kalmeshwar,2012,Post-Monsoon,122.8,27.7,0.059,50.8,21.7,28.4,20.654,3.628,832.2,16.516
Kalmeshwar,2012,Winter,19.6,18.4,0.0,53.92,21.11,28.14,20.779,4.119,122.8,20.654
Kalmeshwar,2013,Pre-Monsoon,52.8,33.7,0.027,48.9,21.02,29.5,20.128,3.093,19.6,20.779
Kalmeshwar,2013,Monsoon,702.3,29.2,0.657,52.77,22.37,30.41,18.16,4.03,52.8,20.128
Kalmeshwar,2013,Post-Monsoon,107.6,25.5,0.063,49.47,21.44,28.23,20.74,3.941,702.3,18.16
Kalmeshwar,2013,Winter,20.9,19.7,0.011,49.82,22.66,29.35,20.031,3.616,107.6,20.74
Kalmeshwar,2014,Pre-Monsoon,45.5,34.3,0.071,53.63,24.62,35.44,21.404,3.968,20.9,20.031
Kalmeshwar,2014,Monsoon,540.5,28.5,0.532,53.57,23.07,36.18,19.148,3.949,45.5,21.404
Kalmeshwar,2014,Post-Monsoon,143.4,25.6,0.138,53.39,22.74,28.48,18.644,3.537,540.5,19.148
Kalmeshwar,2014,Winter,17.1,21.8,0.011,53.39,21.16,30.72,20.906,3.931,143.4,18.644
Kalmeshwar,2015,Pre-Monsoon,63.9,36.9,0.061,51.64,22.53,32.93,20.526,3.808,17.1,20.906
Kalmeshwar,2015,Monsoon,535.5,26.8,0.511,52.03,22.53,32.85,19.198,3.8,63.9,20.526
Kalmeshwar,2015,Post-Monsoon,100.1,26.7,0.108,56.32,23.42,34.17,20.866,4.133,535.5,19.198
Kalmeshwar,2015,Winter,16.3,20.2,0.021,54.97,21.88,32.51,20.035,3.222,100.1,20.866
Kalmeshwar,2016,Pre-Monsoon,55.0,33.8,0.096,51.0,22.2,26.99,20.326,3.538,16.3,20.035
Kalmeshwar,2016,Monsoon,812.0,28.1,0.785,53.53,24.05,33.47,16.137,3.471,55.0,20.326
Kalmeshwar,2016,Post-Monsoon,144.9,29.0,0.142,52.35,21.84,34.9,19.175,4.006,812.0,16.137
Kalmeshwar,2016,Winter,22.6,20.7,0.039,55.16,22.25,38.15,20.018,4.261,144.9,19.175
Kalmeshwar,2017,Pre-Monsoon,74.5,35.9,0.073,57.24,23.91,32.74,20.12,3.85,22.6,20.018
Kalmeshwar,2017,Monsoon,801.8,28.3,0.752,53.36,22.7,36.18,16.868,4.06,74.5,20.12
Kalmeshwar,2017,Post-Monsoon,113.9,27.3,0.101,54.92,22.37,36.89,20.385,4.107,801.8,16.868
Kalmeshwar,2017,Winter,14.9,20.2,0.056,56.17,22.34,35.11,21.916,5.045,113.9,20.385
Kalmeshwar,2018,Pre-Monsoon,55.9,35.8,0.0,56.76,25.66,34.89,21.022,4.105,14.9,21.916
Kalmeshwar,2018,Monsoon,684.0,25.9,0.639,54.8,24.03,38.52,18.466,4.267,55.9,21.022
Kalmeshwar,2018,Post-Monsoon,84.5,26.7,0.041,55.8,23.97,32.33,21.164,4.01,684.0,18.466
Kalmeshwar,2018,Winter,24.5,21.8,0.026,54.24,22.6,33.9,19.797,4.033,84.5,21.164
Kalmeshwar,2019,Pre-Monsoon,51.8,35.6,0.052,53.15,26.35,35.93,21.709,4.279,24.5,19.797
Kalmeshwar,2019,Monsoon,572.6,29.8,0.582,59.87,24.57,33.5,19.175,3.986,51.8,21.709
Kalmeshwar,2019,Post-Monsoon,75.6,23.3,0.082,54.97,22.0,37.36,22.24,4.408,572.6,19.175
Kalmeshwar,2019,Winter,19.1,22.2,0.052,56.37,24.02,36.76,20.641,4.11,75.6,22.24
Kalmeshwar,2020,Pre-Monsoon,62.6,35.8,0.097,59.75,26.03,35.87,21.565,4.533,19.1,20.641
Kalmeshwar,2020,Monsoon,487.2,26.1,0.482,59.51,26.26,35.16,20.417,4.711,62.6,21.565
Kalmeshwar,2020,Post-Monsoon,99.9,27.8,0.133,60.12,24.52,37.4,21.21,4.515,487.2,20.417
Kalmeshwar,2020,Winter,15.5,19.6,0.0,58.99,24.28,37.37,21.213,4.081,99.9,21.21
Kalmeshwar,2021,Pre-Monsoon,53.9,33.4,0.066,53.73,23.84,40.11,21.079,4.449,15.5,21.213
Kalmeshwar,2021,Monsoon,580.4,27.4,0.593,57.84,25.5,35.98,18.585,4.034,53.9,21.079
Kalmeshwar,2021,Post-Monsoon,148.0,25.8,0.105,55.99,25.03,42.27,19.812,4.191,580.4,18.585
Kalmeshwar,2021,Winter,18.0,20.5,0.0,63.46,22.09,39.65,20.779,4.217,148.0,19.812
Kalmeshwar,2022,Pre-Monsoon,51.9,33.1,0.046,61.4,24.51,34.55,21.708,4.695,18.0,20.779
Kalmeshwar,2022,Monsoon,731.2,26.7,0.685,65.19,24.77,37.38,18.143,4.299,51.9,21.708
Kalmeshwar,2022,Post-Monsoon,125.3,26.0,0.129,66.43,25.29,32.54,20.592,4.505,731.2,18.143
Kalmeshwar,2022,Winter,22.2,21.3,0.021,60.0,25.57,37.13,21.057,5.284,125.3,20.592
Kalmeshwar,2023,Pre-Monsoon,61.9,32.1,0.063,58.28,24.83,41.93,21.266,4.539,22.2,21.057
Kalmeshwar,2023,Monsoon,904.4,25.5,0.918,64.14,25.85,37.18,16.216,4.398,61.9,21.266
Kalmeshwar,2023,Post-Monsoon,117.9,23.3,0.147,60.83,24.79,37.91,20.179,4.107,904.4,16.216
Kalmeshwar,2023,Winter,22.7,21.7,0.016,57.63,25.37,35.65,19.732,4.027,117.9,20.179
Kalmeshwar,2024,Pre-Monsoon,54.7,33.4,0.111,63.05,25.94,39.22,20.584,3.891,22.7,19.732
Kalmeshwar,2024,Monsoon,696.9,26.8,0.668,64.2,24.04,38.67,18.514,4.995,54.7,20.584
Kalmeshwar,2024,Post-Monsoon,65.8,24.0,0.059,60.58,24.27,45.0,22.369,4.619,696.9,18.514
Kalmeshwar,2024,Winter,22.4,20.5,0.013,63.83,23.97,44.13,20.95,4.939,65.8,22.369
Kamptee,2010,Monsoon,929.0,26.5,1.156,32.07,7.64,34.12,12.133,2.238,30.5,19.675
Kamptee,2010,Post-Monsoon,103.8,26.2,0.141,36.77,8.22,36.55,18.383,2.701,929.0,12.133
Kamptee,2010,Winter,12.9,20.6,0.027,37.36,9.4,38.24,19.523,2.56,103.8,18.383
Kamptee,2011,Pre-Monsoon,82.9,36.5,0.067,33.25,11.21,32.23,17.151,2.335,12.9,19.523
Kamptee,2011,Monsoon,614.3,26.2,0.751,33.9,8.85,40.58,16.069,2.795,82.9,17.151
Kamptee,2011,Post-Monsoon,111.6,25.1,0.061,31.9,7.91,29.25,18.23,2.574,614.3,16.069
Kamptee,2011,Winter,26.2,21.5,0.056,33.33,10.25,36.7,17.195,2.683,111.6,18.23
Kamptee,2012,Pre-Monsoon,54.6,32.5,0.033,36.81,10.23,33.36,19.245,2.741,26.2,17.195
Kamptee,2012,Monsoon,852.0,28.7,1.04,41.6,9.37,37.95,13.744,2.654,54.6,19.245
Kamptee,2012,Post-Monsoon,120.7,24.0,0.181,41.1,9.11,36.09,17.529,2.518,852.0,13.744
Kamptee,2012,Winter,19.5,23.3,0.01,39.55,10.0,37.33,18.531,2.716,120.7,17.529
Kamptee,2013,Pre-Monsoon,47.5,34.9,0.079,38.84,11.62,39.42,19.647,2.957,19.5,18.531
Kamptee,2013,Monsoon,658.5,26.2,0.876,38.16,9.87,38.78,14.058,2.099,47.5,19.647
Kamptee,2013,Post-Monsoon,121.2,26.3,0.112,36.99,12.09,37.86,18.258,2.646,658.5,14.058
Kamptee,2013,Winter,11.2,21.3,0.039,32.34,9.42,32.91,19.095,2.371,121.2,18.258
Kamptee,2014,Pre-Monsoon,25.6,34.8,0.055,36.83,7.78,33.77,19.878,1.598,11.2,19.095
Kamptee,2014,Monsoon,475.9,28.0,0.577,38.79,10.83,40.85,17.515,2.937,25.6,19.878
Kamptee,2014,Post-Monsoon,151.0,25.0,0.173,37.51,8.7,36.84,17.419,2.66,475.9,17.515
Kamptee,2014,Winter,18.9,22.0,0.0,34.35,11.14,36.94,19.269,3.168,151.0,17.419
Kamptee,2015,Pre-Monsoon,66.2,37.5,0.077,35.7,10.87,37.82,18.211,2.349,18.9,19.269
Kamptee,2015,Monsoon,726.6,26.0,0.94,37.77,10.19,38.13,14.401,2.802,66.2,18.211
Kamptee,2015,Post-Monsoon,136.3,25.5,0.156,36.86,10.19,35.78,17.302,2.097,726.6,14.401
Kamptee,2015,Winter,18.0,21.5,0.0,42.08,11.69,39.13,18.941,3.206,136.3,17.302
Kamptee,2016,Pre-Monsoon,40.9,34.0,0.062,40.28,10.8,37.92,20.691,3.184,18.0,18.941
Kamptee,2016,Monsoon,603.5,26.8,0.705,38.89,11.87,34.47,16.038,2.488,40.9,20.691
Kamptee,2016,Post-Monsoon,164.2,25.3,0.22,33.0,12.49,38.7,16.818,2.851,603.5,16.038
Kamptee,2016,Winter,26.2,20.6,0.027,37.13,10.05,38.93,17.671,2.876,164.2,16.818
Kamptee,2017,Pre-Monsoon,67.5,33.5,0.152,34.42,12.07,41.07,18.628,3.419,26.2,17.671
Kamptee,2017,Monsoon,784.8,27.0,0.979,38.5,11.2,41.16,14.16,2.569,67.5,18.628
Kamptee,2017,Post-Monsoon,143.5,26.9,0.203,38.31,9.88,35.48,16.982,2.714,784.8,14.16
Kamptee,2017,Winter,18.1,17.2,0.0,42.49,10.14,38.56,18.829,3.298,143.5,16.982
Kamptee,2018,Pre-Monsoon,64.7,37.0,0.127,38.72,10.39,37.3,18.665,2.693,18.1,18.829
Kamptee,2018,Monsoon,878.1,26.9,1.172,39.91,12.77,39.01,13.302,2.726,64.7,18.665
Kamptee,2018,Post-Monsoon,130.6,27.3,0.165,35.78,9.63,34.55,17.283,2.554,878.1,13.302
Kamptee,2018,Winter,19.3,18.1,0.019,39.15,13.08,34.47,18.919,3.356,130.6,17.283
Kamptee,2019,Pre-Monsoon,66.2,34.1,0.093,42.49,10.36,40.78,18.438,3.022,19.3,18.919
Kamptee,2019,Monsoon,547.1,27.0,0.668,36.94,10.81,35.82,16.276,2.313,66.2,18.438
Kamptee,2019,Post-Monsoon,92.6,25.3,0.098,44.13,11.5,38.05,18.779,2.363,547.1,16.276
Kamptee,2019,Winter,29.3,21.2,0.039,41.8,12.06,33.59,16.743,2.921,92.6,18.779
Kamptee,2020,Pre-Monsoon,79.9,33.6,0.042,36.86,8.6,38.46,17.649,2.448,29.3,16.743
Kamptee,2020,Monsoon,818.8,26.8,0.964,42.52,11.9,39.82,14.329,2.649,79.9,17.649
Kamptee,2020,Post-Monsoon,90.0,27.0,0.062,37.88,12.86,38.39,19.729,2.936,818.8,14.329
Kamptee,2020,Winter,25.5,20.7,0.0,38.26,11.9,40.03,17.181,2.636,90.0,19.729
Kamptee,2021,Pre-Monsoon,57.9,32.2,0.054,39.0,12.3,41.53,19.014,2.816,25.5,17.181
Kamptee,2021,Monsoon,509.8,25.5,0.612,39.28,10.36,39.91,16.708,2.319,57.9,19.014
Kamptee,2021,Post-Monsoon,111.2,26.4,0.139,36.82,10.26,39.58,18.006,2.032,509.8,16.708
Kamptee,2021,Winter,24.3,20.8,0.047,39.07,11.41,35.46,17.396,3.044,111.2,18.006
Kamptee,2022,Pre-Monsoon,52.2,32.2,0.023,41.18,10.98,40.92,19.769,3.014,24.3,17.396
Kamptee,2022,Monsoon,903.1,25.6,1.133,45.1,12.97,36.42,13.729,3.492,52.2,19.769
Kamptee,2022,Post-Monsoon,122.6,25.7,0.142,42.56,11.45,39.86,18.173,2.771,903.1,13.729
Kamptee,2022,Winter,32.6,18.7,0.051,39.42,12.28,40.09,17.032,3.271,122.6,18.173
Kamptee,2023,Pre-Monsoon,77.4,31.0,0.145,43.34,12.97,37.38,17.706,3.086,32.6,17.032
Kamptee,2023,Monsoon,666.3,28.4,0.784,45.13,11.9,39.93,15.817,3.243,77.4,17.706
Kamptee,2023,Post-Monsoon,110.8,26.8,0.094,42.37,11.77,43.36,18.73,2.848,666.3,15.817
Kamptee,2023,Winter,26.4,21.7,0.022,41.5,10.32,41.41,17.452,3.125,110.8,18.73
Kamptee,2024,Pre-Monsoon,94.0,32.6,0.115,48.12,13.26,39.16,17.52,3.264,26.4,17.452
Kamptee,2024,Monsoon,536.1,26.9,0.625,43.13,12.52,40.33,17.062,3.364,94.0,17.52
Kamptee,2024,Post-Monsoon,102.7,25.6,0.084,39.65,11.53,43.97,19.101,3.151,536.1,17.062
Kamptee,2024,Winter,21.8,20.8,0.054,41.12,10.5,37.44,17.596,2.443,102.7,19.101
Katol,2010,Monsoon,548.2,24.9,0.469,36.17,7.04,17.81,18.278,2.247,57.0,19.926
Katol,2010,Post-Monsoon,147.1,24.5,0.142,37.08,6.96,21.78,17.511,1.915,548.2,18.278
Katol,2010,Winter,18.9,21.6,0.041,38.16,5.66,15.78,19.296,2.116,147.1,17.511
Katol,2011,Pre-Monsoon,65.7,35.2,0.063,28.77,5.17,26.58,18.55,1.254,18.9,19.296
Katol,2011,Monsoon,657.1,28.4,0.598,39.34,6.81,23.61,18.329,2.549,65.7,18.55
